"","entrezgene_id","ensembl_gene_id","hgnc_symbol","ensembl_transcript_id"
"327",2487,"ENSG00000162998","FRZB","ENST00000295113"
"328",150726,"ENSG00000163013","FBXO41","ENST00000295133"
"329",494143,"ENSG00000143942","CHAC2","ENST00000295304"
"330",27302,"ENSG00000163217","BMP10","ENST00000295379"
"331",7855,"ENSG00000163251","FZD5","ENST00000295417"
"332",116064,"ENSG00000163428","LRRC58","ENST00000295628"
"333",57018,"ENSG00000163660","CCNL1","ENST00000295925"
"334",5806,"ENSG00000163661","PTX3","ENST00000295927"
"335",7349,"ENSG00000163794","UCN","ENST00000296099"
"336",57456,"ENSG00000163807","KIAA1143","ENST00000296121"
"337",7802,"ENSG00000163879","DNALI1","ENST00000296218"
"338",114885,"ENSG00000144909","OSBPL11","ENST00000296220"
"339",8819,"ENSG00000164105","SAP30","ENST00000296504"
"340",2150,"ENSG00000164251","F2RL1","ENST00000296677"
"341",94234,"ENSG00000164379","FOXQ1","ENST00000296839"
"342",27242,"ENSG00000146072","TNFRSF21","ENST00000296861"
"343",92421,"ENSG00000164695","CHMP4C","ENST00000297265"
"344",5224,"ENSG00000164708","PGAM2","ENST00000297283"
"345",286046,"ENSG00000171044","XKR6","ENST00000297303"
"346",157773,"ENSG00000164743","C8orf48","ENST00000297324"
"347",27012,"ENSG00000164794","KCNV1","ENST00000297404"
"348",157753,"ENSG00000164841","TMEM74","ENST00000297459"
"349",154791,"ENSG00000164898","FMC1","ENST00000297534"
"350",25788,"ENSG00000197275","RAD54B","ENST00000297592"
"351",4783,"ENSG00000165030","NFIL3","ENST00000297689"
"352",171546,"ENSG00000165389","SPTSSA","ENST00000298130"
"353",6166,"ENSG00000165502","RPL36AL","ENST00000298289"
"354",55172,"ENSG00000165506","DNAAF2","ENST00000298292"
"355",7570,"ENSG00000165512","ZNF22","ENST00000298299"
"356",122830,"ENSG00000139977","NAA30","ENST00000298406"
"357",196740,"ENSG00000165633","VSTM4","ENST00000298454"
"358",23172,"ENSG00000165660","ABRAXAS2","ENST00000298492"
"359",1757,"ENSG00000123453","SARDH","ENST00000298628"
"360",2619,"ENSG00000180447","GAS1","ENST00000298743"
"361",54537,"ENSG00000122376","SHLD2","ENST00000298786"
"362",80017,"ENSG00000133943","DGLUCY","ENST00000298858"
"363",389941,"ENSG00000165985","C1QL3","ENST00000298943"
"364",121457,"ENSG00000166130","IKBIP","ENST00000299157"
"365",170689,"ENSG00000166106","ADAMTS15","ENST00000299164"
"366",115708,"ENSG00000166166","TRMT61A","ENST00000299202"
"367",79803,"ENSG00000166189","HPS6","ENST00000299238"
"368",196446,"ENSG00000166268","MYRFL","ENST00000299350"
"369",5896,"ENSG00000166349","RAG1","ENST00000299440"
"370",7275,"ENSG00000166402","TUB","ENST00000299506"
"371",139231,"ENSG00000123575","FAM199X","ENST00000299906"
"372",348093,"ENSG00000166831","RBPMS2","ENST00000300069"
"373",9880,"ENSG00000166860","ZBTB39","ENST00000300101"
"374",4130,"ENSG00000166963","MAP1A","ENST00000300231"
"375",22974,"ENSG00000088325","TPX2","ENST00000300403"
"376",92162,"ENSG00000167874","TMEM88","ENST00000301599"
"377",146434,"ENSG00000167981","ZNF597","ENST00000301744"
"378",8772,"ENSG00000168040","FADD","ENST00000301838"
"379",51435,"ENSG00000168077","SCARA3","ENST00000301904"
"380",23112,"ENSG00000100354","TNRC6B","ENST00000301923"
"381",8988,"ENSG00000169271","HSPB3","ENST00000302005"
"382",79192,"ENSG00000170549","IRX1","ENST00000302006"
"383",168544,"ENSG00000181444","ZNF467","ENST00000302017"
"384",153572,"ENSG00000170561","IRX2","ENST00000302057"
"385",26145,"ENSG00000170604","IRF2BP1","ENST00000302165"
"386",131616,"ENSG00000169964","TMEM42","ENST00000302392"
"387",51499,"ENSG00000170855","TRIAP1","ENST00000302432"
"388",7200,"ENSG00000170893","TRH","ENST00000302649"
"389",84275,"ENSG00000171612","SLC25A33","ENST00000302692"
"390",10978,"ENSG00000172409","CLP1","ENST00000302731"
"391",3726,"ENSG00000171223","JUNB","ENST00000302754"
"392",10251,"ENSG00000168939","SPRY3","ENST00000302805"
"393",3777,"ENSG00000171303","KCNK3","ENST00000302909"
"394",1051,"ENSG00000172216","CEBPB","ENST00000303004"
"395",143872,"ENSG00000165895","ARHGAP42","ENST00000303130"
"396",4902,"ENSG00000171119","NRTN","ENST00000303212"
"397",54993,"ENSG00000176371","ZSCAN2","ENST00000303310"
"398",5093,"ENSG00000169564","PCBP1","ENST00000303577"
"399",3761,"ENSG00000168135","KCNJ4","ENST00000303592"
"400",57215,"ENSG00000168286","THAP11","ENST00000303596"
"401",3012,"ENSG00000277075","H2AC8","ENST00000303910"
"402",2861,"ENSG00000170775","GPR37","ENST00000303921"
"403",3037,"ENSG00000170961","HAS2","ENST00000303924"
"404",114787,"ENSG00000169258","GPRIN1","ENST00000303991"
"405",79697,"ENSG00000170468","RIOX1","ENST00000304061"
"406",84630,"ENSG00000146216","TTBK1","ENST00000304139"
"407",8436,"ENSG00000168497","CAVIN2","ENST00000304141"
"408",83640,"ENSG00000169612","RAMAC","ENST00000304191"
"409",3316,"ENSG00000170276","HSPB2","ENST00000304298"
"410",2850,"ENSG00000170837","GPR27","ENST00000304411"
"411",653464,"ENSG00000171943","SRGAP2C","ENST00000304465"
"412",653489,"ENSG00000153165","RGPD3","ENST00000304514"
"413",165215,"ENSG00000144369","FAM171B","ENST00000304698"
"414",114990,"ENSG00000168140","VASN","ENST00000304735"
"415",126669,"ENSG00000169291","SHE","ENST00000304760"
"416",140838,"ENSG00000170191","NANP","ENST00000304788"
"417",7386,"ENSG00000169021","UQCRFS1","ENST00000304863"
"418",5028,"ENSG00000169860","P2RY1","ENST00000305097"
"419",170394,"ENSG00000171813","PWWP2B","ENST00000305233"
"420",654483,"ENSG00000169627","BOLA2B","ENST00000305321"
"421",4247,"ENSG00000168282","MGAT2","ENST00000305386"
"422",83452,"ENSG00000172007","RAB33B","ENST00000305626"
"423",9637,"ENSG00000171055","FEZ2","ENST00000305852"
"424",154,"ENSG00000169252","ADRB2","ENST00000305988"
"425",4255,"ENSG00000170430","MGMT","ENST00000306010"
"426",27258,"ENSG00000170860","LSM3","ENST00000306024"
"427",79188,"ENSG00000170876","TMEM43","ENST00000306077"
"428",3038,"ENSG00000103044","HAS3","ENST00000306560"
"429",147,"ENSG00000170214","ADRA1B","ENST00000306675"
"430",100271927,"ENSG00000170667","RASA4B","ENST00000306682"
"431",9054,"ENSG00000244005","NFS1","ENST00000306750"
