"","ENTREZID","SYMBOL","NR_PROB","ESR_PROB","EAR_PROB","LR_PROB","DNR.3H.P.PRIOR","DOX.3H.P.PRIOR","EPI.3H.P.PRIOR","MTX.3H.P.PRIOR","TRZ.3H.P.PRIOR","DNR.24H.P.PRIOR","DOX.24H.P.PRIOR","EPI.24H.P.PRIOR","MTX.24H.P.PRIOR","TRZ.24H.P.PRIOR","MOTIF"
"8475",9375,"TM9SF2",0.998329633108912,1.26379436379407e-06,0.000881336703910329,0.000787766392813501,0.00101994531368377,0.000910985701956866,0.000927959619216956,0.000875003956097431,0.00116701758651409,0.000818899320174368,0.000807802282113204,0.000829517558133468,0.00125924001295787,0.00120772564941044,"NR"
"8476",171425,"CLYBL",0.996889304529281,9.94518186466123e-07,0.000203648078136508,0.00290605287439601,0.000260805682394141,0.000244742156270444,0.000261615193167381,0.000237812174206146,0.00121222600882792,0.00298445677862673,0.0029536577119619,0.00291693774753352,0.00144872127128753,0.00117942785713395,"NR"
"8477",87769,"GGACT",0.999281796869844,1.65786697908423e-07,0.000177820575190756,0.000540216768267589,0.000230387798950994,0.000225814735571341,0.000230419923470593,0.000212489113225939,0.00136891492847526,0.000569701120582177,0.000559221178231412,0.000568450885810989,0.00137459295045414,0.00117844618429765,"NR"
"8478",283481,"FGF14-AS2",0.989960570970179,4.05608607086488e-06,0.000240173696529423,0.0097951992472201,0.000293164010418892,0.000303222724576437,0.000293187759112141,0.00029407185730089,0.00118090787358765,0.0100280009600557,0.00981129467412007,0.0098184869038732,0.00164407491988647,0.00119453591867906,"NR"
"8479",79070,"POGLUT2",0.999322279376532,1.72202488317046e-07,0.000220621997028554,0.000456926423951285,0.00028746213462301,0.000250655652901982,0.000272567343463101,0.000256331493580515,0.00115051118154108,0.000486183294156151,0.000476553562420145,0.000479774320252006,0.00202403055276993,0.00119651144176618,"NR"
"8480",54841,"BIVM",0.998229254143857,4.69710363538763e-07,0.000174864344569513,0.00159541180120998,0.000229418484276518,0.00021440654271684,0.000225927266969951,0.000215067730006658,0.00114921144891601,0.00162865472083723,0.00165547470558779,0.00161229399343121,0.00154413213663606,0.00118651520022036,"NR"
"8481",1948,"EFNB2",0.99223130324233,1.80255613468511e-05,0.00182540718198336,0.00592526401433988,0.00217751819173406,0.00155406231910359,0.00191017204332376,0.00175876714789568,0.00119018589265898,0.00604719295101377,0.0059844981384935,0.00596554615098652,0.00164548353149602,0.00121243004315737,"NR"
"8482",55082,"ARGLU1",0.940614308649304,0.000454834131744017,0.00443187045355585,0.0544989867653967,0.00497293329401111,0.00452769946493959,0.00488416345056733,0.00518803647538358,0.00145757398394655,0.0550210835277424,0.0550551582009054,0.0550371108433456,0.00570841621055718,0.00188167602066093,"NR"
"8483",84945,"ABHD13",0.985041084848978,6.0553553008639e-05,0.0119856273459065,0.00291273425210639,0.0124513749950406,0.00976310985016606,0.0122006987255267,0.0117195017225372,0.00143223236657604,0.00299471840058659,0.00305629750176967,0.00302459935008642,0.00194764292095691,0.00143364898351669,"NR"
"8484",1282,"COL4A1",0.999393557599707,1.51947509347177e-07,0.00023092787270245,0.000375362580081256,0.000299343850042916,0.000273531341540527,0.000281640084732371,0.000260750676038137,0.00115291027174004,0.000401592073939057,0.000394920367849018,0.000397291036620672,0.00136063212240445,0.00117824995999977,"NR"
"8485",1284,"COL4A2",0.986304566769054,1.25898151308459e-05,0.000578853746439269,0.013103989669376,0.000700593110297286,0.000567221444495602,0.000662913748058812,0.000602347337944562,0.00116335056718349,0.0132769267660263,0.0131767214652031,0.0131052520812639,0.00358578752834176,0.00119991700284814,"NR"
"8486",55647,"RAB20",0.998027598841555,6.58046915777801e-07,0.000216877641476439,0.00175486547005294,0.000266845598390664,0.000277868972691146,0.000267404829979793,0.000259671819713635,0.00118456177464943,0.00179545425383673,0.00177823357504551,0.00180484522190695,0.00142815853767438,0.00127195637732197,"NR"
