"","0bp","2bp","4bp","6bp","8bp","10bp","12bp","14bp","16bp","18bp","20bp","22bp","24bp","26bp","28bp","30bp","32bp","34bp","36bp","38bp","40bp","42bp","44bp","46bp","48bp","50bp"
"trimmed_Ind2_87T3h_S5_R2",16,60,52,36,165,47,211,67,175,635,1352,1302,2724,25110,40928,50106,110612,289134,640626,722591,895563,866387,899375,1006456,990431,"32087306.0"
"trimmed_Ind2_87V24h_S12_R1",42,117,47,55,323,131,1161,120,252,828,1720,1464,2676,31185,51754,61216,123641,313431,683519,759811,954171,829252,833214,940172,956510,"31582021.0"
"trimmed_Ind2_87V24h_S12_R2",41,116,47,53,322,129,1161,118,240,799,1678,1426,2608,31105,51532,60876,123125,312549,681846,757656,952003,819477,831294,937000,953781,"31607851.0"
"trimmed_Ind2_87V3h_S6_R1",7,24,51,12,148,32,101,67,141,667,1617,1286,2639,33934,50887,53013,106401,292003,710058,803943,998006,974354,1012816,1124002,1050038,"31836776.0"
"trimmed_Ind2_87V3h_S6_R2",7,24,52,13,146,35,103,64,139,642,1592,1260,2622,33834,50778,52806,106041,291203,708485,802065,996075,963529,1010993,1122018,1048482,"31860015.0"
"trimmed_Ind3_77DA24h_S7_R1",1,14,27,8,52,8,72,23,71,254,463,538,1121,12649,24084,27442,54499,139553,310857,375372,460615,453715,489365,630154,774564,"33926238.0"
"trimmed_Ind3_77DA24h_S7_R2",1,14,27,8,53,7,73,22,70,245,453,519,1095,12644,24099,27433,54547,139615,311351,375490,461154,471055,506861,648846,793506,"33852571.0"
"trimmed_Ind3_77DA3h_S1_R1",4,34,10,2,52,9,153,19,38,188,489,487,1256,33555,52496,43555,72655,180332,474278,608851,731193,783566,870083,1130310,1424960,"64739114.0"
"trimmed_Ind3_77DA3h_S1_R2",4,36,10,2,50,7,151,21,39,180,482,472,1218,33366,52201,43328,72168,179525,472930,606454,729018,802484,889921,1153291,1456894,"64653437.0"
"trimmed_Ind3_77DX24h_S8_R1",2,16,10,3,64,18,81,17,57,308,591,697,1455,13439,23625,27085,48217,126689,312342,389942,518858,502267,540979,704828,848027,"34989118.0"
"trimmed_Ind3_77DX24h_S8_R2",2,16,10,3,64,19,79,16,58,290,570,686,1431,13376,23491,26938,47999,126236,311637,388673,517567,514656,553840,718374,866712,"34935992.0"
"trimmed_Ind3_77DX3h_S2_R1",7,37,7,2,36,15,81,25,15,74,169,177,458,13860,21125,15899,27157,68104,183785,245333,284595,317426,361841,530731,794494,"40890636.0"
"trimmed_Ind3_77DX3h_S2_R2",7,39,6,2,35,15,81,25,14,72,166,178,460,13834,21068,15855,27046,67799,183444,244740,284243,325808,371142,544058,811708,"40844244.0"
"trimmed_Ind3_77E24h_S9_R1",1,24,14,9,137,38,209,58,71,400,790,730,1657,18452,34480,41229,82228,216413,495233,595815,761375,710431,737997,887156,951278,"35952707.0"
"trimmed_Ind3_77E24h_S9_R2",1,23,14,9,134,38,209,58,72,373,778,716,1619,18370,34267,41023,81892,215534,494132,593902,759403,728177,755463,905973,971920,"35884832.0"
"trimmed_Ind3_77E3h_S3_R1",7,24,3,0,34,9,159,17,28,103,273,267,697,18076,27977,21433,37286,95853,265403,355432,405103,443453,498840,698661,963993,"46304944.0"
"trimmed_Ind3_77E3h_S3_R2",7,24,3,0,34,7,157,19,26,98,263,267,690,18010,27832,21364,37082,95472,264749,354064,403839,454165,510715,712812,985170,"46251206.0"
"trimmed_Ind3_77M24h_S10_R1",2,3,7,8,107,10,27,32,97,315,908,898,2302,13610,23259,29757,69007,169823,334225,416713,495375,518777,556550,698691,815274,"32352965.0"
"trimmed_Ind3_77M24h_S10_R2",2,3,7,8,103,10,25,34,90,294,867,858,2210,13507,23049,29487,68542,169074,333319,415046,493679,531393,569575,713765,834813,"32298982.0"
"trimmed_Ind3_77M3h_S4_R1",1,11,1,0,17,7,52,17,29,54,131,131,360,11693,19608,16874,30136,77702,219589,307735,385994,438381,504578,710586,973273,"45734493.0"
"trimmed_Ind3_77M3h_S4_R2",1,10,0,0,16,8,51,16,28,52,130,127,350,11635,19491,16823,29963,77339,218922,306521,384741,448904,516041,724644,995868,"45679772.0"
"trimmed_Ind3_77T24h_S11_R1",9,58,20,8,97,44,527,38,58,192,419,451,993,13367,20386,20728,46407,127739,317575,368373,463238,484516,529736,677137,811037,"37044499.0"
"trimmed_Ind3_77T24h_S11_R2",9,58,18,8,97,45,526,35,54,182,411,444,981,13306,20264,20648,46165,127253,316898,367147,462065,497104,542702,690063,829011,"36992158.0"
"trimmed_Ind3_77T3h_S5_R1",10,46,6,11,48,17,300,31,28,54,133,188,502,17053,25257,18721,32023,77683,206560,266574,306761,335574,371302,509707,702549,"35909153.0"
"trimmed_Ind3_77T3h_S5_R2",10,46,7,11,48,17,300,29,27,50,130,184,497,17024,25167,18681,31875,77475,206227,265758,306332,344408,380581,520386,719620,"35865401.0"
"trimmed_Ind3_77V24h_S12_R1",19,55,51,15,206,83,1021,65,68,405,905,760,1552,22093,33891,37120,74633,189932,440650,540026,731238,632677,621725,727787,752660,"26515252.0"
"trimmed_Ind3_77V24h_S12_R2",19,54,52,15,204,83,1028,66,68,388,844,731,1496,22027,33798,36974,74411,189530,440314,539244,730512,651990,639593,745313,772351,"26443784.0"
"trimmed_Ind3_77V3h_S6_R1",19,111,63,25,90,23,237,28,51,267,454,516,1291,18792,28901,28100,52027,122471,270493,331014,388763,406177,447393,618556,824912,"41312499.0"
"trimmed_Ind3_77V3h_S6_R2",16,109,63,26,88,25,235,29,49,260,450,508,1277,18694,28756,27982,51771,122012,269960,329945,388146,416712,458332,631481,843176,"41263171.0"
"trimmed_Ind4_79DA24h_S7_R1",31,100,92,41,191,44,146,26,85,412,843,791,1955,43913,64593,47546,82906,192981,459862,564304,612094,676776,782507,1515016,0,"36917879.0"
"trimmed_Ind4_79DA24h_S7_R2",31,99,91,41,191,44,145,26,86,408,841,780,1949,43818,64474,47416,82640,192389,458511,562760,608154,669667,773981,1501242,0,"36955350.0"
"trimmed_Ind4_79DA3h_S1_R1",59,234,752,235,827,178,740,285,823,2984,6072,6712,14313,121250,193576,217784,432984,969061,1835276,2024573,2261632,2217240,2237916,2992130,0,"41767400.0"
"trimmed_Ind4_79DA3h_S1_R2",54,228,748,229,819,178,737,278,814,2940,6028,6673,14263,120959,193023,217253,431822,966592,1830835,2020061,2247873,2194831,2216442,2965821,0,"41865535.0"
"trimmed_Ind4_79DX24h_S8_R1",50,143,125,33,188,12,303,29,74,210,476,435,1144,33722,49472,38587,72323,181901,455463,558402,603367,671585,760720,1347385,0,"34421542.0"
"trimmed_Ind4_79DX24h_S8_R2",49,141,125,32,188,12,303,30,74,203,474,429,1129,33578,49319,38472,72095,181392,454441,556939,599580,665270,753192,1331932,0,"34458292.0"
"trimmed_Ind4_79DX3h_S2_R1",154,238,379,187,739,106,312,67,201,816,1791,1902,3790,36990,59324,63862,125142,302334,690795,882922,1017800,1074484,1165427,1818372,0,"31552512.0"
"trimmed_Ind4_79DX3h_S2_R2",142,225,372,187,731,110,311,62,200,801,1774,1883,3761,37001,59261,63787,125024,302020,690076,881646,1014456,1068626,1157303,1802192,0,"31588695.0"
"trimmed_Ind4_79E24h_S9_R1",49,244,120,60,193,69,687,20,43,187,345,346,1121,31267,43835,32335,62336,164421,407595,498668,528658,585190,688016,1375007,0,"38598788.0"
"trimmed_Ind4_79E24h_S9_R2",49,240,116,59,193,66,690,19,43,178,340,335,1099,31178,43673,32228,62040,163959,406317,496754,525072,578849,680799,1363098,0,"38632206.0"
